gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
6065-7545,LGD Gaming,1,65,21,4,21.5,4,1,5,11,3,14,66569,256,42657
6065-7546,LGD Gaming,1,58,24,15,5.466666667,4,1,5,11,7,18,117751,433,55045
6071-7558,LGD Gaming,1,31,10,5,8.2,4,1,5,11,3,14,71564,324,39497
6071-7559,LGD Gaming,1,38,13,4,12.75,2,1,3,11,3,14,62618,226,35309
6082-7595,LGD Gaming,0,7,2,11,0.818181818,1,0,1,3,0,3,28273,134,21358
6082-7596,LGD Gaming,0,31,10,17,2.411764706,2,0,2,2,0,2,99389,338,40786
6087-7619,LGD Gaming,0,19,7,26,1,2,0,2,2,0,2,56196,215,25737
6087-7622,LGD Gaming,0,13,5,16,1.125,3,0,3,4,0,4,64172,281,33407
6095-7664,LGD Gaming,0,19,7,18,1.444444444,1,0,1,2,0,2,55184,204,27445
6095-7668,LGD Gaming,0,26,10,25,1.44,2,1,3,5,0,5,67474,236,35546
6050-7682,LGD Gaming,0,23,9,27,1.185185185,1,0,1,2,0,2,,,
6050-7683,LGD Gaming,1,50,19,9,7.666666667,2,1,3,8,1,9,57309,138,31975
6050-7684,LGD Gaming,0,13,4,17,1,2,0,2,2,0,2,34154,203,23934
6207-7824,LGD Gaming,0,15,7,13,1.692307692,0,0,0,3,0,3,40320,218,28852
6207-7825,LGD Gaming,1,34,14,5,9.6,3,2,5,9,1,10,58042,339,44166
6207-7826,LGD Gaming,1,59,19,11,7.090909091,2,1,3,8,1,9,73865,197,35440
6216-7884,LGD Gaming,1,27,12,3,13,4,1,5,9,2,11,54202,236,38885
6216-7887,LGD Gaming,0,26,10,19,1.894736842,2,0,2,4,0,4,85765,314,37580
6216-7890,LGD Gaming,1,42,15,2,28.5,3,0,3,9,1,10,39677,157,31078
6222-7932,LGD Gaming,1,37,16,5,10.6,2,1,3,11,3,14,67312,221,39821
6222-7933,LGD Gaming,1,44,20,4,16,3,1,4,9,2,11,66500,159,32524
6231-7996,LGD Gaming,0,30,12,13,3.230769231,4,1,5,3,0,3,,,
6231-7999,LGD Gaming,0,27,10,22,1.681818182,1,1,2,3,0,3,57106,216,31088
6237-8038,LGD Gaming,1,44,13,6,9.5,4,1,5,9,1,10,59666,240,33650
6237-8039,LGD Gaming,0,19,9,16,1.75,2,0,2,2,0,2,61165,228,30715
6237-8040,LGD Gaming,1,21,12,9,3.666666667,2,1,3,9,1,10,43983,196,34016
6253-8167,LGD Gaming,0,35,12,21,2.238095238,1,0,1,2,0,2,56888,226,32608
6253-8168,LGD Gaming,0,17,7,9,2.666666667,3,0,3,4,0,4,42655,223,28498
6595-8287,LGD Gaming,0,6,3,11,0.818181818,2,0,2,2,0,2,47035,246,34469
6595-8289,LGD Gaming,1,38,21,15,3.933333333,1,1,2,10,3,13,67101,199,36655
6595-8290,LGD Gaming,0,7,3,11,0.909090909,1,0,1,4,0,4,43329,247,31015
6600-8329,LGD Gaming,0,23,11,30,1.133333333,1,0,1,2,0,2,91645,383,41125
6600-8337,LGD Gaming,1,37,19,8,7,5,2,7,9,1,10,64703,337,54128
6600-8338,LGD Gaming,1,35,13,3,16,3,0,3,9,1,10,41412,268,36746
6605-8363,LGD Gaming,0,12,7,19,1,3,0,3,5,0,5,55973,322,38423
6605-8364,LGD Gaming,0,14,6,14,1.428571429,1,0,1,2,0,2,39012,253,33260
6611-8410,LGD Gaming,1,59,21,7,11.42857143,4,1,5,9,2,11,,,
6611-8413,LGD Gaming,1,32,17,2,24.5,4,1,5,9,2,11,67423,323,45860
6616-8451,LGD Gaming,1,32,14,13,3.538461538,4,2,6,11,5,16,68058,337,43490
6616-8452,LGD Gaming,1,70,28,8,12.25,4,0,4,8,1,9,63917,266,38225
6625-8513,LGD Gaming,1,38,15,1,53,3,1,4,11,3,14,56640,237,38285
6625-8518,LGD Gaming,0,27,10,21,1.761904762,0,0,0,3,0,3,54136,226,28130
6625-8519,LGD Gaming,1,40,14,5,10.8,5,1,6,7,1,8,54146,367,46276
6635-8588,LGD Gaming,0,25,11,20,1.8,4,1,5,4,0,4,56574,,36895
6635-8591,LGD Gaming,1,30,15,14,3.214285714,1,1,2,8,1,9,63710,,43376
6635-8592,LGD Gaming,0,22,8,14,2.142857143,3,0,3,3,0,3,43171,287,28995
6639-8622,LGD Gaming,1,18,10,12,2.333333333,5,2,7,11,4,15,96095,439,56253
6639-8623,LGD Gaming,1,28,12,4,10,4,1,5,9,2,11,65290,323,43629
6647-8676,LGD Gaming,0,18,9,17,1.588235294,1,0,1,1,0,83022,63916,,31312
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
